"location_id","display_name","is_cbd","node_degree","nodes_within_400m","walkable_m_within_400m","walkable_km_within_400m","low_sensory_within_800m","nearest_low_sensory_m","snap_m","network_snap_reliable"
162,"iHub 489 Elizabeth Street",True,3,1162,21123.32,21.12,6,460.26,5.70,True
164,"I-Hub 526 La Trobe Street (Footpath)",True,3,700,12991.54,12.99,4,330.69,6.20,True
165,"475 Spencer Street",True,2,912,12278.25,12.28,3,446.51,0.05,True
166,"484 Spencer Street",True,2,968,12662.87,12.66,3,484.49,2.17,True
167,"I-Hub 526 La Trobe Street (Crossing)",True,4,721,13091.24,13.09,4,318.72,4.47,True
179,"61-67 Power Street Southbank",True,2,568,11426.38,11.43,4,555.10,4.40,True
180,"Pumping Station No.2, 330 Macaulay Road",False,1,678,9476.30,9.48,2,706.38,3.28,True
181,"368 Elizabeth Street",True,2,1767,28066.99,28.07,7,174.76,4.40,True
182,"163 King Street",True,2,1048,18225.35,18.23,6,192.63,4.45,True
184,"124 Elizabeth Street",True,3,2438,30680.34,30.68,13,384.41,0.70,True
185,"197 Elizabeth Street",True,3,2344,26937.84,26.94,10,236.45,1.22,True
187,"RMIT Building 22 - 330 Swanston Street",True,2,1700,34947.47,34.95,9,179.52,2.70,True
188,"RMIT Building 51 - 80-92 Victoria Street",True,3,1048,17605.36,17.61,12,196.27,8.27,True
209,"Flinders Underpass - Walkway",True,2,922,19328.53,19.33,16,298.33,5.35,True
